epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4443,1.22135,2.92996,1.49049,0.53138,0.54082,0.5421,0.35148,1.24805,1.76048,1.57877,0.000158276,0.000158276,0.000158276
2,152.576,1.19737,1.91222,1.45756,0.60534,0.63252,0.63462,0.42674,1.21676,1.48692,1.52886,0.000306483,0.000306483,0.000306483
3,211.205,1.19595,1.68587,1.44537,0.66316,0.64891,0.66794,0.44746,1.22252,1.41294,1.54327,0.000444219,0.000444219,0.000444219
4,267.708,1.1776,1.54633,1.42957,0.69937,0.66475,0.69643,0.47195,1.20526,1.30329,1.52188,0.000428876,0.000428876,0.000428876
5,325.011,1.15386,1.41099,1.41261,0.7358,0.70314,0.74936,0.50331,1.18851,1.16718,1.49957,0.000413168,0.000413168,0.000413168
6,380.4,1.14725,1.31355,1.40729,0.72415,0.72247,0.75319,0.51453,1.17613,1.17514,1.47565,0.00039746,0.00039746,0.00039746
7,436.038,1.12774,1.25533,1.38759,0.74437,0.72911,0.7731,0.5273,1.15668,1.07901,1.46309,0.000381752,0.000381752,0.000381752
8,490.852,1.11719,1.18635,1.37871,0.77365,0.74198,0.79723,0.54994,1.15633,0.98196,1.46092,0.000366044,0.000366044,0.000366044
9,545.65,1.10735,1.13673,1.36861,0.76663,0.73702,0.78956,0.54403,1.16274,0.99778,1.46993,0.000350336,0.000350336,0.000350336
10,600.513,1.10074,1.11575,1.36531,0.78463,0.77898,0.81934,0.57308,1.13345,0.915,1.42652,0.000334628,0.000334628,0.000334628
11,655.452,1.08132,1.07048,1.35849,0.78936,0.78733,0.82427,0.57326,1.11544,0.88804,1.4213,0.00031892,0.00031892,0.00031892
12,711.972,1.08124,1.03837,1.34878,0.78856,0.76997,0.82615,0.57286,1.12194,0.87228,1.41468,0.000303212,0.000303212,0.000303212
13,802.107,1.07546,1.00263,1.34755,0.78004,0.7765,0.82706,0.57874,1.12402,0.87162,1.41426,0.000287504,0.000287504,0.000287504
14,858.882,1.06435,0.9814,1.3375,0.76827,0.7832,0.8253,0.58166,1.11396,0.85631,1.41248,0.000271796,0.000271796,0.000271796
15,914.693,1.0586,0.97093,1.33569,0.78959,0.7769,0.81542,0.57076,1.12221,0.8872,1.4202,0.000256088,0.000256088,0.000256088
16,970.705,1.06217,0.93749,1.33116,0.79472,0.81013,0.85334,0.59894,1.11207,0.7831,1.39028,0.00024038,0.00024038,0.00024038
17,1025.81,1.04648,0.92743,1.32596,0.81915,0.79573,0.85033,0.59816,1.10576,0.80276,1.39873,0.000224672,0.000224672,0.000224672
18,1080.48,1.0348,0.90515,1.32018,0.81424,0.78146,0.84215,0.59287,1.10146,0.81748,1.40719,0.000208964,0.000208964,0.000208964
19,1135.58,1.02812,0.88359,1.31312,0.80674,0.79768,0.84333,0.59267,1.0965,0.8013,1.38511,0.000193256,0.000193256,0.000193256
20,1418.34,1.02992,0.872,1.31623,0.81093,0.82129,0.85353,0.60024,1.09772,0.76042,1.38544,0.000177548,0.000177548,0.000177548
21,1504.26,1.00816,0.77775,1.35768,0.81652,0.80043,0.85153,0.60274,1.0825,0.76026,1.38018,0.00016184,0.00016184,0.00016184
22,1559.78,0.99153,0.73952,1.34434,0.80912,0.8093,0.85228,0.60297,1.08262,0.75726,1.37097,0.000146132,0.000146132,0.000146132
23,1615.56,0.98939,0.71924,1.33787,0.81907,0.79805,0.85369,0.60236,1.08156,0.76124,1.37343,0.000130424,0.000130424,0.000130424
24,1671.42,0.97026,0.68515,1.32664,0.80919,0.81817,0.85615,0.60995,1.0725,0.74488,1.36266,0.000114716,0.000114716,0.000114716
25,1727.85,0.95628,0.67056,1.31286,0.82364,0.80717,0.86075,0.6138,1.06966,0.7426,1.36145,9.9008e-05,9.9008e-05,9.9008e-05
26,1784.35,0.95071,0.65814,1.31241,0.8124,0.82815,0.86693,0.61885,1.07195,0.71906,1.35846,8.33e-05,8.33e-05,8.33e-05
27,1901.7,0.95084,0.64817,1.31252,0.81718,0.80636,0.84862,0.60444,1.07176,0.744,1.36249,6.7592e-05,6.7592e-05,6.7592e-05
28,1959.83,0.93693,0.63174,1.30286,0.829,0.81412,0.86378,0.6174,1.06934,0.7215,1.35956,5.1884e-05,5.1884e-05,5.1884e-05
29,2017.66,0.93025,0.62167,1.30119,0.82383,0.81773,0.86875,0.62198,1.06803,0.70388,1.3573,3.6176e-05,3.6176e-05,3.6176e-05
30,2075.58,0.92186,0.60291,1.28741,0.82552,0.82472,0.87045,0.62464,1.06071,0.69916,1.35381,2.0468e-05,2.0468e-05,2.0468e-05
